,PD,EAD,LGD,Actual_Target,EL,EL_pct,RISK_TIER,DECISION
61065,0.16336633265018463,221832.0,0.45,0,16307.94613700509,0.07351484969258308,MEDIUM,MANUAL_REVIEW
150133,0.10454985499382019,265851.0,0.45,0,12507.607574982942,0.047047434747219084,MEDIUM,MANUAL_REVIEW
256582,0.26323118805885315,644962.5,0.45,0,76398.41030778363,0.11845403462648392,HIGH,DECLINE
248855,0.03948831930756569,592560.0,0.45,0,10529.639320001006,0.01776974368840456,LOW,APPROVE
144968,0.01032863836735487,238500.0,0.45,0,1108.5211127763614,0.004647887265309692,LOW,APPROVE
224549,0.055392514914274216,781920.0,0.45,0,19490.631867796183,0.024926631711423397,LOW,APPROVE
118948,0.09035779535770416,225000.0,0.45,0,9148.726779967548,0.040661007910966884,MEDIUM,MANUAL_REVIEW
234132,0.014641288667917252,251091.0,0.45,0,1654.3331158122048,0.006588579900562763,LOW,APPROVE
136278,0.02122514694929123,834048.0,0.45,0,7966.256113243103,0.009551316127181053,LOW,APPROVE
207372,0.17468354105949402,385164.0,0.45,0,30276.81513388753,0.0786075934767723,MEDIUM,MANUAL_REVIEW
107645,0.061991870403289795,283500.0,0.45,0,7908.612866699696,0.02789634168148041,LOW,APPROVE
15290,0.08949416130781174,299772.0,0.45,0,12072.529675604404,0.040272372588515286,MEDIUM,MANUAL_REVIEW
148428,0.17468354105949402,1078200.0,0.45,0,84754.7072866559,0.0786075934767723,MEDIUM,MANUAL_REVIEW
118595,0.00699300691485405,1656000.0,0.45,0,5211.188752949238,0.003146853111684322,LOW,APPROVE
77174,0.47035571932792664,592560.0,0.45,1,125421.2932702303,0.21166007369756698,HIGH,DECLINE
170366,0.055392514914274216,528633.0,0.45,0,13177.040101504885,0.024926631711423397,LOW,APPROVE
49451,0.015748031437397003,799299.0,0.45,0,5664.323600945994,0.007086614146828651,LOW,APPROVE
188947,0.01935012824833393,130320.0,0.45,0,1134.768920995295,0.00870755771175027,LOW,APPROVE
155399,0.1358734667301178,592560.0,0.45,1,36230.93165051937,0.061143060028553006,MEDIUM,MANUAL_REVIEW
119669,0.10454985499382019,296280.0,0.45,1,13939.21396690607,0.047047434747219084,MEDIUM,MANUAL_REVIEW
24734,0.12295082211494446,150948.0,0.45,0,8351.631313472986,0.055327869951725006,MEDIUM,MANUAL_REVIEW
303818,0.0749896988272667,408780.0,0.45,0,13794.430088974537,0.033745364472270015,LOW,APPROVE
222042,0.061991870403289795,285723.0,0.45,0,7970.626434257627,0.02789634168148041,LOW,APPROVE
213444,0.015748031437397003,675000.0,0.45,0,4783.46454910934,0.007086614146828651,LOW,APPROVE
279244,0.02954048104584217,331632.0,0.45,0,4408.455964587629,0.013293216470628977,LOW,APPROVE
